# DISTRITO;DISTRITOS
1;AHUACHAPÁ
2;APANECA
3;CONCEPCIÓN DE ATAC
4;TACUBA
5;GUAYMANGO
6;JUJUTLA
7;SAN FRANCISCO MENÉNDE
8;SAN PEDRO PUXTLA
9;ATIQUIZAYA
10;EL REFUGIO
11;SAN LORENZO
12;TURÍ
13;MASAHUAT
14;METAPÁ
15;SANTA ROSA GUACHIPILÍ
16;TEXISTEPEQUE
17;SANTA ANA
18;COATEPEQUE
19;EL CONGO
20;CANDELARIA DE LA FRONTERA
21;CHALCHUAPA
22;EL PORVENIR
23;SAN ANTONIO PAJONAL
24;SAN SEBASTIÁN SALITRILL
25;SANTIAGO DE LA FRONTERA
26;JUAYÚ
27;NAHUIZALCO
28;SALCOATITÁ
29;SANTA CATARINA MASAHUAT
30;SONSONATE
31;SONZACATE
32;NAHULINGO
33;SAN ANTONIO DEL MONTE
34;SANTO DOMINGO DE GUZMÁ
35;ARMENIA
36;CALUCO
37;CUISNAHUAT
38;IZALCO
39;SAN JULIÁ
40;SANTA ISABEL ISHUATÁ
41;ACAJUTLA
42;CITAL�
43;LA PALMA
44;SAN IGNACIO
45;AGUA CALIENTE
46;DULCE NOMBRE DE MARÍ
47;EL PARAÍS
48;LA REINA
49;NUEVA CONCEPCIÓ
50;SAN FERNANDO
51;SAN FRANCISCO MORAZÁ
52;SAN RAFAEL
53;SANTA RITA
54;TEJUTLA
55;ARCATAO
56;AZACUALPA
57;CANCASQUE
58;CHALATENANGO
59;COMALAPA
60;CONCEPCIÓN QUEZALTEPEQU
61;EL CARRIZAL
62;LA LAGUNA
63;LAS VUELTAS
64;LAS FLORES
65;NOMBRE DE JESÚ
66;NUEVA TRINIDAD
67;OJOS DE AGUA
68;POTONICO
69;SAN ANTONIO DE LA CRUZ
70;SAN ANTONIO LOS RANCHOS
71;SAN FRANCISCO LEMPA
72;SAN ISIDRO LABRADOR
73;SAN LUIS DEL CARMEN
74;SAN MIGUEL DE MERCEDES
75;QUEZALTEPEQUE
76;SAN MATÍA
77;SAN PABLO TACACHICO
78;SAN JUAN OPICO
79;CIUDAD ARCE
80;COLÓ
81;JAYAQUE
82;SACACOYO
83;TEPECOYO
84;TALNIQUE
85;ANTIGUO CUSCATLÁ
86;HUIZÚCA
87;NUEVO CUSCATLÁ
88;SAN JOSÉ VILLANUEV
89;ZARAGOZA
90;CHILTIUPÁ
91;JICALAPA
92;LA LIBERTAD
93;TAMANIQUE
94;TEOTEPEQUE
95;SANTA TECLA
96;COMASAGUA
97;AGUILARES
98;EL PAISNAL
99;GUAZAPA
100;APOPA
101;NEJAPA
102;ILOPANGO
103;SAN MARTÍ
104;SOYAPANGO
105;TONACATEPEQUE
106;AYUTUXTEPEQUE
107;MEJICANOS
108;CUSCATANCINGO
109;CIUDAD DELGADO
110;SAN SALVADOR
111;SAN MARCOS
112;SANTO TOMÁ
113;SANTIAGO TEXACUANGOS
114;PANCHIMALCO
115;ROSARIO DE MORA
116;CUYULTITÁ
117;OLOCUILTA
118;SAN JUAN TALPA
119;SAN LUIS TALPA
120;SAN PEDRO MASAHUAT
121;TAPALHUACA
122;SAN FRANCISCO CHINAMECA
123;EL ROSARIO
124;JERUSALÉ
125;MERCEDES LA CEIBA
126;PARAÍSO DE OSORI
127;SAN ANTONIO MASAHUAT
128;SAN EMIGDIO
129;SAN JUAN TEPEZONTES
130;SAN LUIS LA HERRADURA
131;SAN MIGUEL TEPEZONTES
132;SAN PEDRO NONUALCO
133;SANTA MARÍA OSTUM
134;SANTIAGO NONUALCO
135;SAN JUAN NONUALCO
136;SAN RAFAEL OBRAJUELO
137;ZACATECOLUCA
138;SUCHITOTO
139;SAN JOSÉ GUAYABA
140;ORATORIO DE CONCEPCIÓ
141;SAN BARTOLOMÉ PERULAP�
142;SAN PEDRO PERULAPÁ
143;COJUTEPEQUE
144;CANDELARIA
145;EL CARMEN
146;EL ROSARIO
147;MONTE SAN JUAN
148;SAN CRISTÓBA
149;SAN RAFAEL CEDROS
150;SAN RAMÓ
151;SANTA CRUZ ANALQUITO
152;SANTA CRUZ MICHAPA
153;TENANCINGO
154;GUACOTECTI
155;SAN ISIDRO
156;SENSUNTEPEQUE
157;VICTORIA
158;DOLORES
159;CINQUERA
160;ILOBASCO
161;JUTIAPA
162;TEJUTEPEQUE
163;APASTEPEQUE
164;SANTA CLARA
165;SAN ILDEFONSO
166;SAN ESTEBAN CATARINA
167;SAN SEBASTIÁ
168;SAN LORENZO
169;SANTO DOMINGO
170;SAN VICENTE
171;GUADALUPE
172;SAN CAYETANO ISTEPEQUE
173;TECOLUCA
174;TEPETITÁ
175;VERAPAZ
176;ALEGRÍ
177;BERLÍ
178;EL TRIUNFO
179;ESTANZUELAS
180;JUCUAPA
181;MERCEDES UMAÑ
182;NUEVA GRANADA
183;SAN BUENAVENTURA
184;SANTIAGO DE MARÍ
185;CALIFORNIA
186;CONCEPCIÓN BATRE
187;EREGUAYQUÍ
188;JUCUARÁ
189;OZATLÁ
190;SANTA ELENA
191;SAN DIONISIO
192;SANTA MARÍ
193;TECAPÁ
194;USULUTÁ
195;JIQUILISCO
196;PUERTO EL TRIUNFO
