ITEM;MUNICIPIO
1;AHUACHAPÁN CENTR
2;AHUACHAPÁN NORT
3;AHUACHAPÁN SU
4;SANTA ANA CENTRO
5;SANTA ANA ESTE
6;SANTA ANA NORTE
7;SANTA ANA OESTE
8;SONSONATE CENTRO
9;SONSONATE ESTE
10;SONSONATE NORTE
11;SONSONATE OESTE
12;CHALATENANGO CENTRO
13;CHALATENANGO NORTE
14;CHALATENANGO SUR
15;LA LIBERTAD CENTRO
16;LA LIBERTAD COSTA
17;LA LIBERTAD ESTE
18;LA LIBERTAD NORTE
19;LA LIBERTAD OESTE
20;LA LIBERTAD SUR
21;SAN SALVADOR CENTRO
22;SAN SALVADOR ESTE
23;SAN SALVADOR NORTE
24;SAN SALVADOR OESTE
25;SAN SALVADOR SUR
26;LA PAZ   CENTR
27;LA PAZ ESTE
28;LA PAZ OESTE
29;CUSCATLÁN NORT
30;CUSCATLÁN SU
31;CABAÑAS EST
32;CABAÑAS OEST
33;SAN VICENTE NORTE
34;SAN VICENTE SUR
35;USULUTÁN EST
36;USULUTÁN NORT
37;USULUTÁN OEST
38;SAN MIGUEL CENTRO
39;SAN MIGUEL NORTE
40;SAN MIGUEL OESTE
41;MORAZÁN NORT
42;MORAZÁN SU
43;LA UNIÓN NORT
44;LA UNIÓN SU
