Departamento,Distrito,NIT_Distrito,Codigo_Zona,Area_km2,Poblacion,Densidad_HabKm2
AHUACHAPAN,AHUACHAPAN,0101-010611-001-0,AHUACHAPAN-0101-CENTRO,501.01,237889.0,474.82
AHUACHAPAN,APANECA,0102-011079-001-9,APANECA-0102-CENTRO,,,
AHUACHAPAN,ATIQUIZAYA,0103-011079-001-9,ATIQUIZAYA-0103-NORTE,146.89,61720.0,420.18
AHUACHAPAN,CONCEPCION DE ATACO,0104-011079-001-9,CONCEPCION DE ATACO-0104-CENTRO,,,
AHUACHAPAN,EL REFUGIO,0105-011079-001-9,EL REFUGIO-0105-NORTE,,,
AHUACHAPAN,GUAYMANGO,0106-011079-001-9,GUAYMANGO-0106-SUR,591.43,102457.0,173.24
AHUACHAPAN,JUJUTLA,0107-011079-001-9,JUJUTLA-0107-SUR,,,
AHUACHAPAN,SAN FRANCISCO MENENDEZ,0108-011079-001-2,SAN FRANCISCO MENENDEZ-0108-SUR,,,
AHUACHAPAN,SAN LORENZO,0109-011079-001-9,SAN LORENZO-0109-NORTE,,,
AHUACHAPAN,SAN PEDRO PUXTLA,0110-011079-001-0,SAN PEDRO PUXTLA-0110-SUR,,,
AHUACHAPAN,TACUBA,0111-011079-001-0,TACUBA-0111-CENTRO,,,
AHUACHAPAN,TURIN,0112-011079-001-0,TURIN-0112-NORTE,,,
SANTA ANA,CANDELARIA DE LA FRONTERA,0201-011079-001-9,CANDELARIA DE LA FRONTERA-0201-OESTE,447.87,172035.0,384.12
SANTA ANA,COATEPEQUE,0202-010611-001-2,COATEPEQUE-0202-ESTE,218.28,64061.0,293.48
SANTA ANA,CHALCHUAPA,0203-010611-001-2,CHALCHUAPA-0203-OESTE,,,
SANTA ANA,EL CONGO,0204-021079-001-9,EL CONGO-0204-ESTE,,,
SANTA ANA,EL PORVENIR,0205-021079-001-9,EL PORVENIR-0205-OESTE,,,
SANTA ANA,MASAHUAT,0206-021079-001-9,MASAHUAT-0206-NORTE,956.97,91108.0,95.2
SANTA ANA,METAPAN,0207-010611-002-4,METAPAN-0207-NORTE,,,
SANTA ANA,SAN ANTONIO PAJONAL,0208-021079-001-9,SAN ANTONIO PAJONAL-0208-OESTE,,,
SANTA ANA,SAN SEBASTIAN SALITRILLO,0209-021079-001-9,SAN SEBASTIAN SALITRILLO-0209-OESTE,,,
SANTA ANA,SANTA ANA,0210-021079-001-5,SANTA ANA-0210-CENTRO,400.05,264091.0,660.14
SANTA ANA,SANTA ROSA GUACHIPILIN,0211-021079-001-0,SANTA ROSA GUACHIPILIN-0211-NORTE,,,
SANTA ANA,SANTIAGO DE LA FRONTERA,0212-021079-001-0,SANTIAGO DE LA FRONTERA-0212-OESTE,,,
SANTA ANA,TEXISTEPEQUE,0213-021079-001-0,TEXISTEPEQUE-0213-NORTE,,,
SONSONATE,ACAJUTLA,0301-010611-001-4,ACAJUTLA-0301-OESTE,166.59,53259.0,319.7
SONSONATE,ARMENIA,0302-230278-001-8,ARMENIA-0302-ESTE,542.89,160035.0,294.78
SONSONATE,CALUCO,0303-031079-001-9,CALUCO-0303-ESTE,,,
SONSONATE,CUISNAHUAT,0304-031079-001-9,CUISNAHUAT-0304-ESTE,,,
SONSONATE,SANTA ISABEL ISHUATAN,0305-031079-001-9,SANTA ISABEL ISHUATAN-0305-ESTE,,,
SONSONATE,IZALCO,0306-010611-001-4,IZALCO-0306-ESTE,,,
SONSONATE,JUAYUA,0307-010611-001-4,JUAYUA-0307-NORTE,186.91,89106.0,476.73
SONSONATE,NAHUIZALCO,0308-010611-001-4,NAHUIZALCO-0308-NORTE,,,
SONSONATE,NAHULINGO,0309-031079-001-9,NAHULINGO-0309-CENTRO,,,
SONSONATE,SALCOATITAN,0310-031079-001-0,SALCOATITAN-0310-NORTE,,,
SONSONATE,SAN ANTONIO DEL MONTE,0311-031079-001-0,SAN ANTONIO DEL MONTE-0311-CENTRO,,,
SONSONATE,SAN JULIAN,0312-031079-001-0,SAN JULIAN-0312-ESTE,,,
SONSONATE,SANTA CATARINA MASAHUAT,0313-031079-001-0,SANTA CATARINA MASAHUAT-0313-NORTE,,,
SONSONATE,SANTO DOMINGO DE GUZMAN,0314-031079-001-0,SANTO DOMINGO DE GUZMAN-0314-CENTRO,,,
SONSONATE,SONSONATE,0315-010611-001-5,SONSONATE-0315-CENTRO,329.38,140920.0,427.83
SONSONATE,SONZACATE,0316-031079-001-0,SONZACATE-0316-CENTRO,,,
CHALATENANGO,AGUA CALIENTE,0401-041079-001-9,AGUA CALIENTE-0401-CENTRO,1018.45,100658.0,98.83
CHALATENANGO,ARCATAO,0402-041079-001-9,ARCATAO-0402-SUR,713.99,74809.0,104.78
